llama-3.1-8b-instruct-smoothquant:

|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|  - professional_accounting            |      1|none  |     0|acc     |↑  |0.5426|±  |0.0297|
|  - professional_medicine              |      1|none  |     0|acc     |↑  |0.7721|±  |0.0255|
|  - virology                           |      1|none  |     0|acc     |↑  |0.5000|±  |0.0389|
| - social sciences                     |      2|none  |      |acc     |↑  |0.7741|±  |0.0074|
|  - econometrics                       |      1|none  |     0|acc     |↑  |0.5175|±  |0.0470|
|  - high_school_geography              |      1|none  |     0|acc     |↑  |0.7929|±  |0.0289|
|  - high_school_government_and_politics|      1|none  |     0|acc     |↑  |0.8912|±  |0.0225|
|  - high_school_macroeconomics         |      1|none  |     0|acc     |↑  |0.6872|±  |0.0235|
|  - high_school_microeconomics         |      1|none  |     0|acc     |↑  |0.8025|±  |0.0259|
|  - high_school_psychology             |      1|none  |     0|acc     |↑  |0.8734|±  |0.0143|
|  - human_sexuality                    |      1|none  |     0|acc     |↑  |0.7939|±  |0.0355|
|  - professional_psychology            |      1|none  |     0|acc     |↑  |0.7173|±  |0.0182|
|  - public_relations                   |      1|none  |     0|acc     |↑  |0.6818|±  |0.0446|
|  - security_studies                   |      1|none  |     0|acc     |↑  |0.7510|±  |0.0277|
|  - sociology                          |      1|none  |     0|acc     |↑  |0.8358|±  |0.0262|
|  - us_foreign_policy                  |      1|none  |     0|acc     |↑  |0.8900|±  |0.0314|
| - stem                                |      2|none  |      |acc     |↑  |0.5899|±  |0.0084|
|  - abstract_algebra                   |      1|none  |     0|acc     |↑  |0.3500|±  |0.0479|
|  - anatomy                            |      1|none  |     0|acc     |↑  |0.7037|±  |0.0394|
|  - astronomy                          |      1|none  |     0|acc     |↑  |0.7500|±  |0.0352|
|  - college_biology                    |      1|none  |     0|acc     |↑  |0.8056|±  |0.0331|
|  - college_chemistry                  |      1|none  |     0|acc     |↑  |0.4800|±  |0.0502|
|  - college_computer_science           |      1|none  |     0|acc     |↑  |0.5700|±  |0.0498|
|  - college_mathematics                |      1|none  |     0|acc     |↑  |0.3500|±  |0.0479|
|  - college_physics                    |      1|none  |     0|acc     |↑  |0.4608|±  |0.0496|
|  - computer_security                  |      1|none  |     0|acc     |↑  |0.7700|±  |0.0423|
|  - conceptual_physics                 |      1|none  |     0|acc     |↑  |0.6085|±  |0.0319|
|  - electrical_engineering             |      1|none  |     0|acc     |↑  |0.6552|±  |0.0396|
|  - elementary_mathematics             |      1|none  |     0|acc     |↑  |0.4947|±  |0.0257|
|  - high_school_biology                |      1|none  |     0|acc     |↑  |0.8097|±  |0.0223|
|  - high_school_chemistry              |      1|none  |     0|acc     |↑  |0.6305|±  |0.0340|
|  - high_school_computer_science       |      1|none  |     0|acc     |↑  |0.7500|±  |0.0435|
|  - high_school_mathematics            |      1|none  |     0|acc     |↑  |0.4185|±  |0.0301|
|  - high_school_physics                |      1|none  |     0|acc     |↑  |0.4503|±  |0.0406|
|  - high_school_statistics             |      1|none  |     0|acc     |↑  |0.5509|±  |0.0339|
|  - machine_learning                   |      1|none  |     0|acc     |↑  |0.5089|±  |0.0475|
|piqa                                   |      1|none  |     0|acc     |↑  |0.8020|±  |0.0093|
|                                       |       |none  |     0|acc_norm|↑  |0.8150|±  |0.0091|
|winogrande                             |      1|none  |     0|acc     |↑  |0.7372|±  |0.0124|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.6836|±  |0.0037|
| - humanities     |      2|none  |      |acc   |↑  |0.6485|±  |0.0067|
| - other          |      2|none  |      |acc   |↑  |0.7422|±  |0.0075|
| - social sciences|      2|none  |      |acc   |↑  |0.7741|±  |0.0074|
| - stem           |      2|none  |      |acc   |↑  |0.5899|±  |0.0084|
